id_municipio,sigla_uf,regiao,rede_descricao,alunos,indicador_previsto,indicador_real,meta_do_ano,taxa_ano_anterior,risco,gap_previsto_meta,sem_meta,risco_de_nao_atingir_meta,nome_municipio,sigla_uf_dim,perfil,nome_perfil
1501576,PA,Norte,Municipal,67,53.11,46.08,61.74,58.11,0.4689,-8.63,False,True,Bom Jesus do Tocantins,PA,0,Atenção
1501600,PA,Norte,Municipal,34,49.39,34.81,43.59,37.05,0.5061,5.8,False,False,Bonito,PA,2,Crítico
1501709,PA,Norte,Municipal,407,45.49,38.03,48.67,42.71,0.5450999999999999,-3.18,False,True,Bragança,PA,2,Crítico
1501725,PA,Norte,Municipal,52,68.77,94.38,74.26,73.21,0.3123,-5.49,False,True,Brasil Novo,PA,1,Consolidado
1501758,PA,Norte,Municipal,28,58.74,77.45,64.62,61.57,0.41259999999999997,-5.88,False,True,Brejo Grande do Araguaia,PA,0,Atenção
1501782,PA,Norte,Municipal,132,35.61,54.22,38.27,31.24,0.6439,-2.66,False,True,Breu Branco,PA,2,Crítico
1501808,PA,Norte,Municipal,291,44.16,56.44,49.78,43.98,0.5584,-5.62,False,True,Breves,PA,2,Crítico
1501907,PA,Norte,Municipal,74,50.6,58.36,56.12,51.35,0.494,-5.52,False,True,Bujaru,PA,0,Atenção
1501956,PA,Norte,Municipal,57,47.72,56.13,53.0,47.78,0.5227999999999999,-5.28,False,True,Cachoeira do Piriá,PA,0,Atenção
1502004,PA,Norte,Municipal,58,49.39,29.95,56.72,52.14,0.5061,-7.33,False,True,Cachoeira do Arari,PA,0,Atenção
1502103,PA,Norte,Municipal,385,42.39,36.69,46.63,40.39,0.5761000000000001,-4.24,False,True,Cametá,PA,2,Crítico
1502152,PA,Norte,Municipal,488,58.35,62.42,65.05,62.09,0.4165,-6.7,False,True,Canaã dos Carajás,PA,0,Atenção
